ds,y,item_code,is_event_day
2025-07-01,25,1,False
2025-07-01,15,3,False
2025-07-01,2,5,False
2025-07-01,4,8,False
2025-07-01,6,10,False
2025-07-01,8,11,False
2025-07-01,10,12,False
2025-07-01,2,13,False
2025-07-01,4,15,False
2025-07-02,12,1,False
2025-07-02,4,2,False
2025-07-02,36,3,False
2025-07-02,8,4,False
2025-07-02,4,5,False
2025-07-02,4,6,False
2025-07-02,4,8,False
2025-07-02,6,9,False
2025-07-02,10,10,False
2025-07-02,15,11,False
2025-07-02,15,12,False
2025-07-02,6,15,False
2025-07-02,2,16,False
2025-07-04,28,1,False
2025-07-04,8,2,False
2025-07-04,14,3,False
2025-07-04,8,4,False
2025-07-04,2,5,False
2025-07-04,2,6,False
2025-07-04,6,8,False
2025-07-04,5,9,False
2025-07-04,8,10,False
2025-07-04,31,11,False
2025-07-04,20,12,False
2025-07-04,2,13,False
2025-07-04,2,14,False
2025-07-04,6,15,False
2025-07-04,3,16,False
2025-07-03,23,1,False
2025-07-03,8,3,False
2025-07-03,15,4,False
2025-07-03,2,8,False
2025-07-03,4,9,False
2025-07-03,8,10,False
2025-07-03,8,11,False
2025-07-03,12,12,False
2025-07-05,35,1,False
2025-07-05,20,3,False
2025-07-05,10,4,False
2025-07-05,4,5,False
2025-07-05,2,6,False
2025-07-05,4,7,False
2025-07-05,8,8,False
2025-07-05,10,9,False
2025-07-05,18,10,False
2025-07-05,40,11,False
2025-07-05,35,12,False
2025-07-05,2,14,False
2025-07-05,15,15,False
2025-07-05,4,16,False
2025-07-07,25,1,False
2025-07-07,12,2,False
2025-07-07,4,3,False
2025-07-07,2,4,False
2025-07-07,1,5,False
2025-07-07,2,7,False
2025-07-07,4,8,False
2025-07-07,4,9,False
2025-07-07,12,10,False
2025-07-07,10,11,False
2025-07-07,2,12,False
2025-07-07,2,13,False
2025-07-08,15,1,False
2025-07-08,5,2,False
2025-07-08,26,3,False
2025-07-08,1,8,False
2025-07-08,4,9,False
2025-07-08,2,10,False
2025-07-08,8,11,False
2025-07-08,10,12,False
2025-07-08,4,15,False
2025-07-08,3,16,False
2025-07-09,4,1,False
2025-07-09,8,2,False
2025-07-09,22,3,False
2025-07-09,2,5,False
2025-07-09,2,7,False
2025-07-09,2,8,False
2025-07-09,4,9,False
2025-07-09,5,10,False
2025-07-09,14,11,False
2025-07-09,8,12,False
2025-07-09,2,13,False
2025-07-09,2,14,False
2025-07-09,9,15,False
2025-07-10,25,1,False
2025-07-10,35,3,False
2025-07-10,10,4,False
2025-07-10,4,5,False
2025-07-10,2,6,False
2025-07-10,4,7,False
2025-07-10,4,8,False
2025-07-10,10,9,False
2025-07-10,10,10,False
2025-07-10,35,11,False
2025-07-10,18,12,False
2025-07-10,2,14,False
2025-07-10,30,15,False
2025-07-11,35,1,False
2025-07-11,8,2,False
2025-07-11,21,3,False
2025-07-11,15,4,False
2025-07-11,2,6,False
2025-07-11,2,7,False
2025-07-11,6,8,False
2025-07-11,8,9,False
2025-07-11,17,10,False
2025-07-11,45,11,False
2025-07-11,25,12,False
2025-07-11,3,16,False
2025-07-12,40,1,False
2025-07-12,12,4,False
2025-07-12,2,5,False
2025-07-12,4,7,False
2025-07-12,4,8,False
2025-07-12,2,9,False
2025-07-12,10,10,False
2025-07-12,18,11,False
2025-07-12,20,12,False
2025-07-12,26,15,False
2025-07-12,3,16,False
2025-07-14,3,1,False
2025-07-14,15,2,False
2025-07-14,17,4,False
2025-07-14,2,8,False
2025-07-14,2,9,False
2025-07-14,10,10,False
2025-07-14,8,11,False
2025-07-14,2,15,False
2025-07-15,8,1,False
2025-07-15,15,2,False
2025-07-15,8,3,False
2025-07-15,26,4,False
2025-07-15,2,5,False
2025-07-15,4,8,False
2025-07-15,6,9,False
2025-07-15,8,10,False
2025-07-15,10,11,False
2025-07-15,12,12,False
2025-07-15,3,13,False
2025-07-15,4,15,False
2025-07-15,3,16,False
2025-07-16,8,2,False
2025-07-16,8,3,False
2025-07-16,20,4,False
2025-07-16,3,5,False
2025-07-16,4,6,False
2025-07-16,4,7,False
2025-07-16,2,8,False
2025-07-16,4,10,False
2025-07-16,10,11,False
2025-07-16,10,12,False
2025-07-16,8,1,False
2025-07-17,25,1,False
2025-07-17,3,16,False
2025-07-17,2,15,False
2025-07-17,10,12,False
2025-07-17,6,11,False
2025-07-17,10,10,False
2025-07-17,2,9,False
2025-07-17,1,8,False
2025-07-17,2,5,False
2025-07-17,8,4,False
2025-07-17,15,2,False
2025-07-18,15,1,False
2025-07-18,12,2,False
2025-07-18,8,3,False
2025-07-18,20,4,False
2025-07-18,3,7,False
2025-07-18,4,8,False
2025-07-18,6,9,False
2025-07-18,12,10,False
2025-07-18,15,11,False
2025-07-18,19,12,False
2025-07-18,4,13,False
2025-07-18,2,14,False
2025-07-18,2,15,False
2025-07-18,9,16,False
2025-07-19,16,1,False
2025-07-19,8,2,False
2025-07-19,28,3,False
2025-07-19,15,4,False
2025-07-19,2,5,False
2025-07-19,2,6,False
2025-07-19,2,7,False
2025-07-19,4,8,False
2025-07-19,8,9,False
2025-07-19,14,10,False
2025-07-19,23,11,False
2025-07-19,4,12,False
2025-07-19,2,14,False
2025-07-19,8,15,False
2025-07-19,5,16,False
2025-07-21,15,1,False
2025-07-21,5,2,False
2025-07-21,6,3,False
2025-07-21,2,7,False
2025-07-21,2,8,False
2025-07-21,4,9,False
2025-07-21,4,10,False
2025-07-21,14,11,False
2025-07-21,1,12,False
2025-07-21,2,13,False
2025-07-21,4,15,False
2025-07-21,2,16,False
2025-07-22,8,1,False
2025-07-22,12,3,False
2025-07-22,2,5,False
2025-07-22,2,7,False
2025-07-22,4,9,False
2025-07-22,8,11,False
2025-07-22,2,12,False
2025-07-22,2,15,False
2025-07-22,12,4,False
2025-07-23,15,1,False
2025-07-23,8,2,False
2025-07-23,8,3,False
2025-07-23,21,4,False
2025-07-23,6,5,False
2025-07-23,2,6,False
2025-07-23,1,7,False
2025-07-23,7,8,False
2025-07-23,4,9,False
2025-07-23,9,10,False
2025-07-23,28,11,False
2025-07-23,13,12,False
2025-07-23,2,13,False
2025-07-23,2,14,False
2025-07-23,1,15,False
2025-07-23,7,16,False
2025-07-24,5,1,False
2025-07-24,5,2,False
2025-07-24,3,3,False
2025-07-24,7,4,False
2025-07-24,4,8,False
2025-07-24,5,10,False
2025-07-24,2,11,False
2025-07-24,11,12,False
2025-07-24,3,15,False
2025-07-24,3,16,False
2025-07-25,15,1,False
2025-07-25,5,2,False
2025-07-25,8,3,False
2025-07-25,11,4,False
2025-07-25,2,5,False
2025-07-25,2,6,False
2025-07-25,2,7,False
2025-07-25,7,8,False
2025-07-25,10,9,False
2025-07-25,12,10,False
2025-07-25,17,11,False
2025-07-25,11,12,False
2025-07-25,3,13,False
2025-07-25,2,14,False
2025-07-25,7,15,False
2025-07-26,15,1,False
2025-07-26,5,2,False
2025-07-26,15,3,False
2025-07-26,10,4,False
2025-07-26,2,7,False
2025-07-26,4,8,False
2025-07-26,6,9,False
2025-07-26,12,10,False
2025-07-26,12,11,False
2025-07-26,10,12,False
2025-07-26,6,15,False
2025-07-26,3,16,False
2025-07-28,6,1,False
2025-07-28,7,2,False
2025-07-28,12,3,False
2025-07-28,11,4,False
2025-07-28,1,7,False
2025-07-28,2,8,False
2025-07-28,2,9,False
2025-07-28,6,10,False
2025-07-28,8,11,False
2025-07-28,2,12,False
2025-07-28,1,14,False
2025-07-28,1,15,False
2025-07-29,5,1,False
2025-07-29,7,3,False
2025-07-29,21,4,False
2025-07-29,2,5,False
2025-07-29,2,7,False
2025-07-29,4,8,False
2025-07-29,2,9,False
2025-07-29,7,10,False
2025-07-29,8,11,False
2025-07-29,11,12,False
2025-07-29,2,13,False
2025-07-29,5,15,False
2025-07-29,5,16,False
